Cluster Name,Environment,Cluster Descriptor,Namespace,Deployment,Image,Created On,OS,UBI Name,UBI Version,UBI Release
aap,cluster,,aap,aap-task,registry.redhat.io/ansible-automation-platform-24/ee-supported-rhel8@sha256:dd834d88ea9634e42d74dce9a08722322e61d211ee557056b4b4f7ded81442ee,2024-02-10 02:06:44 +0800,rhel:8,ubi8-minimal,8.9,1108.1706795067
aap,cluster,,aap,aap-task,registry.redhat.io/ansible-automation-platform-24/controller-rhel8@sha256:8ff3fd6876d26f36adc75c3134d55eb5b07bea8d4a1f66e2e4799d231fb4228d,2024-02-10 03:12:40 +0800,rhel:8,ubi8-minimal,8.9,1108.1706795067
aap,cluster,,aap,aap-task,registry.redhat.io/ansible-automation-platform-24/controller-rhel8@sha256:8ff3fd6876d26f36adc75c3134d55eb5b07bea8d4a1f66e2e4799d231fb4228d,2024-02-10 03:12:40 +0800,rhel:8,ubi8-minimal,8.9,1108.1706795067
aap,cluster,,aap,aap-task,registry.redhat.io/rhel8/redis-6@sha256:444200241cb9186cd97d564d7acf077d83fc997a8ee5ee7fdae41b604895085c,2024-01-03 17:22:56 +0800,rhel:8,ubi8,8.9,1107
aap,cluster,,my-rhacs-securedcluster,collector,registry.redhat.io/advanced-cluster-security/rhacs-collector-rhel8@sha256:718dafd75b2f37904acae157de11be8827c0adc523f870c3bc8cc89f3987d8a2,2024-01-19 06:25:07 +0800,rhel:8,ubi8-minimal,8.9,1108.1705420507
aap,cluster,,my-rhacs-securedcluster,collector,registry.redhat.io/advanced-cluster-security/rhacs-main-rhel8@sha256:04820b12f8d78d1da4c6fa055f8284be0c0b6e3541969257c87fb950adfa044c,2024-01-20 00:44:50 +0800,rhel:8,ubi8-minimal,8.9,1108.1705420507
aap,cluster,,my-rhacs-securedcluster,collector,registry.redhat.io/advanced-cluster-security/rhacs-scanner-slim-rhel8@sha256:c773398e7278d7ec19c802786f0db169bcaba24449d906ed2c3327d91203b94d,2024-01-19 06:11:22 +0800,rhel:8,ubi8-minimal,8.9,1108.1705420507
aap,cluster,,aap,aap-postgres-13,registry.redhat.io/rhel8/postgresql-13@sha256:3903d562425dd564986123280dc076548fb3d24c74138dcd857652f53052e0a7,2024-01-03 17:23:22 +0800,rhel:8,ubi8,8.9,1107
aap,cluster,,aap,aap-web,registry.redhat.io/ansible-automation-platform-24/controller-rhel8@sha256:8ff3fd6876d26f36adc75c3134d55eb5b07bea8d4a1f66e2e4799d231fb4228d,2024-02-10 03:12:40 +0800,rhel:8,ubi8-minimal,8.9,1108.1706795067
aap,cluster,,aap,aap-web,registry.redhat.io/ansible-automation-platform-24/controller-rhel8@sha256:8ff3fd6876d26f36adc75c3134d55eb5b07bea8d4a1f66e2e4799d231fb4228d,2024-02-10 03:12:40 +0800,rhel:8,ubi8-minimal,8.9,1108.1706795067
aap,cluster,,aap,aap-web,registry.redhat.io/rhel8/redis-6@sha256:444200241cb9186cd97d564d7acf077d83fc997a8ee5ee7fdae41b604895085c,2024-01-03 17:22:56 +0800,rhel:8,ubi8,8.9,1107
production,,,stackrox,central-db,registry.redhat.io/advanced-cluster-security/rhacs-central-db-rhel8@sha256:2915ca70a7e45dd58d3356ece548c3f66490ebf0e40165d729cf8c706ea1baf5,2024-01-18 08:42:50 +0800,rhel:8,ubi8,8.9,1107
aap,cluster,,my-rhacs-securedcluster,scanner-db,registry.redhat.io/advanced-cluster-security/rhacs-scanner-db-slim-rhel8@sha256:1ac1d4f3c9fee60d4927e7e1df38867b5b5cae738f2e036ae365695e3cecf6d2,2024-01-19 06:05:42 +0800,rhel:8,ubi8,8.9,1107
production,,,stackrox,scanner-db,registry.redhat.io/advanced-cluster-security/rhacs-scanner-db-rhel8@sha256:0f3d6fe7470b9045e1162d950a614c766932fea647c9b67a05928359ddf9b92e,2024-01-18 08:42:30 +0800,rhel:8,ubi8,8.9,1107
aap,cluster,,aap,automation-controller-operator-controller-manager,registry.redhat.io/ansible-automation-platform-24/controller-rhel8-operator@sha256:4293abc76eceedd79802a099ec97daaf7f521a007c91eec620c9e21e57c012a1,2024-02-10 00:59:12 +0800,rhel:8,,,
aap,cluster,,aap,automation-controller-operator-controller-manager,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:75adbc384463d1fdde83c867c86bdb86a7275d18f3bdbcdc258577a723c0b46b,2024-01-30 00:30:56 +0800,rhel:8,,,
production,,,stackrox,sensor,registry.redhat.io/advanced-cluster-security/rhacs-main-rhel8@sha256:d0fc60e22e2bfc9835997207da151caef4a155e8ff748d5fa2a74575d5fa1c51,2024-01-18 09:27:36 +0800,rhel:8,ubi8-minimal,8.9,1108
production,,,stackrox,collector,registry.redhat.io/advanced-cluster-security/rhacs-collector-rhel8@sha256:e3d1f8e595c6fe4499f78c0c12c83d5d00357ca13568c2e2538f5aa752eefcda,2024-01-18 09:27:53 +0800,rhel:8,ubi8-minimal,8.9,1108
production,,,stackrox,collector,registry.redhat.io/advanced-cluster-security/rhacs-main-rhel8@sha256:d0fc60e22e2bfc9835997207da151caef4a155e8ff748d5fa2a74575d5fa1c51,2024-01-18 09:27:36 +0800,rhel:8,ubi8-minimal,8.9,1108
production,,,stackrox,collector,registry.redhat.io/advanced-cluster-security/rhacs-scanner-slim-rhel8@sha256:11e9c6ca6bb4e0b1faf3aeb26457498f25c0c8ee37200cf5052ce7a33c396199,2024-01-18 08:44:57 +0800,rhel:8,ubi8-minimal,8.9,1108
aap,cluster,,my-rhacs-securedcluster,sensor,registry.redhat.io/advanced-cluster-security/rhacs-main-rhel8@sha256:04820b12f8d78d1da4c6fa055f8284be0c0b6e3541969257c87fb950adfa044c,2024-01-20 00:44:50 +0800,rhel:8,ubi8-minimal,8.9,1108.1705420507
production,,,stackrox,admission-control,registry.redhat.io/advanced-cluster-security/rhacs-main-rhel8@sha256:d0fc60e22e2bfc9835997207da151caef4a155e8ff748d5fa2a74575d5fa1c51,2024-01-18 09:27:36 +0800,rhel:8,ubi8-minimal,8.9,1108
production,,,stackrox,central,registry.redhat.io/advanced-cluster-security/rhacs-main-rhel8@sha256:d0fc60e22e2bfc9835997207da151caef4a155e8ff748d5fa2a74575d5fa1c51,2024-01-18 09:27:36 +0800,rhel:8,ubi8-minimal,8.9,1108
production,,,rhacs-operator,rhacs-operator-controller-manager,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:a8ad0e76ce4cae9f9b36aecf125c4ed56fc2d776fe3df113d41bfc1c2f8b3602,2023-11-22 01:36:58 +0800,rhel:8,,,
production,,,rhacs-operator,rhacs-operator-controller-manager,registry.redhat.io/advanced-cluster-security/rhacs-rhel8-operator@sha256:bf1efcf48f3ca38e12da50320cb31a3ecd87ebdf1d98231f79292a745bd373b8,2024-01-18 08:57:01 +0800,rhel:8,ubi8-minimal,8.9,1108
aap,cluster,,rhacs-operator,rhacs-operator-controller-manager,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:a8ad0e76ce4cae9f9b36aecf125c4ed56fc2d776fe3df113d41bfc1c2f8b3602,2023-11-22 01:36:58 +0800,rhel:8,,,
aap,cluster,,rhacs-operator,rhacs-operator-controller-manager,registry.redhat.io/advanced-cluster-security/rhacs-rhel8-operator@sha256:2667b40a5a90d15eaa696453dd39146c2072f9630aa14deac1a0d38bddc2aee9,2024-01-19 06:22:56 +0800,rhel:8,ubi8-minimal,8.9,1108.1705420507
aap,cluster,,my-rhacs-securedcluster,admission-control,registry.redhat.io/advanced-cluster-security/rhacs-main-rhel8@sha256:04820b12f8d78d1da4c6fa055f8284be0c0b6e3541969257c87fb950adfa044c,2024-01-20 00:44:50 +0800,rhel:8,ubi8-minimal,8.9,1108.1705420507
production,,,stackrox,scanner,registry.redhat.io/advanced-cluster-security/rhacs-scanner-rhel8@sha256:1cefdc53193ffef13c70ca6e391329cce9fac16fe67802ae401db9250118066f,2024-01-18 08:58:08 +0800,rhel:8,ubi8-minimal,8.9,1108
aap,cluster,,my-rhacs-securedcluster,scanner,registry.redhat.io/advanced-cluster-security/rhacs-scanner-slim-rhel8@sha256:c773398e7278d7ec19c802786f0db169bcaba24449d906ed2c3327d91203b94d,2024-01-19 06:11:22 +0800,rhel:8,ubi8-minimal,8.9,1108.1705420507
aap,cluster,,aap,eda-server-operator-controller-manager,registry.redhat.io/ansible-automation-platform-24/eda-controller-rhel8-operator@sha256:bd491d49db010420c62a512ee786847cc1fc89200a1bc595b57c9ba563549d14,2024-02-10 00:55:27 +0800,rhel:8,,,
aap,cluster,,aap,eda-server-operator-controller-manager,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:75adbc384463d1fdde83c867c86bdb86a7275d18f3bdbcdc258577a723c0b46b,2024-01-30 00:30:56 +0800,rhel:8,,,
aap,cluster,,aap,resource-operator-controller-manager,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:75adbc384463d1fdde83c867c86bdb86a7275d18f3bdbcdc258577a723c0b46b,2024-01-30 00:30:56 +0800,rhel:8,,,
aap,cluster,,aap,resource-operator-controller-manager,registry.redhat.io/ansible-automation-platform-24/platform-resource-rhel8-operator@sha256:d7acfaed3151a1c775c6c38e0f531b30712f2ba77339f6053ef688bddaf56300,2024-02-10 00:57:31 +0800,rhel:8,,,
aap,cluster,,aap,automation-hub-operator-controller-manager,registry.redhat.io/ansible-automation-platform-24/hub-rhel8-operator@sha256:3270d26662c9744b2e42a46ffc37b0a1beccdf787281d755c0261ea07e0c81eb,2024-02-10 00:56:36 +0800,rhel:8,,,
aap,cluster,,aap,automation-hub-operator-controller-manager,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:75adbc384463d1fdde83c867c86bdb86a7275d18f3bdbcdc258577a723c0b46b,2024-01-30 00:30:56 +0800,rhel:8,,,
