Cluster,Namespace,Deployment,Image,OS,OS Image Name,OS Image Version,OS Image Release
production,test,code-with-quarkus,image-registry.openshift-image-registry.svc:5000/test/code-with-quarkus@sha256:d7c2537e9f465e623878da0a774cb3d65a404b199dfd0cab5d7b6d75453429c5,rhel:8,ubi8-minimal,8.7,1085.1679482090
production,test,java-springboot-basic,image-registry.openshift-image-registry.svc:5000/test/java-springboot-basic@sha256:2616ebd00027e0e2c07057f3716d707884e31166ce88c4fd5b27fd44524167d8,rhel:8,ubi8-minimal,8.7,1085.1679482090
production,test,nodejs-basic,image-registry.openshift-image-registry.svc:5000/test/nodejs-basic@sha256:88ef9060a65635413fe65e0553557dfaf33cbf7cb444fc1a1da18884a7ae9b45,rhel:8,ubi8-minimal,8.9,1108
production,rhacs-operator,rhacs-operator-controller-manager,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:a8ad0e76ce4cae9f9b36aecf125c4ed56fc2d776fe3df113d41bfc1c2f8b3602,rhel:8,openshift/ose-kube-rbac-proxy,v4.13.0,202311211131.p0.gae32bfa.assembly.stream
production,rhacs-operator,rhacs-operator-controller-manager,registry.redhat.io/advanced-cluster-security/rhacs-rhel8-operator@sha256:bf1efcf48f3ca38e12da50320cb31a3ecd87ebdf1d98231f79292a745bd373b8,rhel:8,ubi8-minimal,8.9,1108
production,stackrox,central-db,registry.redhat.io/advanced-cluster-security/rhacs-central-db-rhel8@sha256:2915ca70a7e45dd58d3356ece548c3f66490ebf0e40165d729cf8c706ea1baf5,rhel:8,ubi8,8.9,1107
production,stackrox,scanner-db,registry.redhat.io/advanced-cluster-security/rhacs-scanner-db-rhel8@sha256:0f3d6fe7470b9045e1162d950a614c766932fea647c9b67a05928359ddf9b92e,rhel:8,ubi8,8.9,1107
production,stackrox,collector,registry.redhat.io/advanced-cluster-security/rhacs-collector-rhel8@sha256:e3d1f8e595c6fe4499f78c0c12c83d5d00357ca13568c2e2538f5aa752eefcda,rhel:8,ubi8-minimal,8.9,1108
production,stackrox,collector,registry.redhat.io/advanced-cluster-security/rhacs-main-rhel8@sha256:d0fc60e22e2bfc9835997207da151caef4a155e8ff748d5fa2a74575d5fa1c51,rhel:8,ubi8-minimal,8.9,1108
production,stackrox,collector,registry.redhat.io/advanced-cluster-security/rhacs-scanner-slim-rhel8@sha256:11e9c6ca6bb4e0b1faf3aeb26457498f25c0c8ee37200cf5052ce7a33c396199,rhel:8,ubi8-minimal,8.9,1108
production,stackrox,sensor,registry.redhat.io/advanced-cluster-security/rhacs-main-rhel8@sha256:d0fc60e22e2bfc9835997207da151caef4a155e8ff748d5fa2a74575d5fa1c51,rhel:8,ubi8-minimal,8.9,1108
production,stackrox,scanner,registry.redhat.io/advanced-cluster-security/rhacs-scanner-rhel8@sha256:1cefdc53193ffef13c70ca6e391329cce9fac16fe67802ae401db9250118066f,rhel:8,ubi8-minimal,8.9,1108
production,stackrox,admission-control,registry.redhat.io/advanced-cluster-security/rhacs-main-rhel8@sha256:d0fc60e22e2bfc9835997207da151caef4a155e8ff748d5fa2a74575d5fa1c51,rhel:8,ubi8-minimal,8.9,1108
production,stackrox,central,registry.redhat.io/advanced-cluster-security/rhacs-main-rhel8@sha256:d0fc60e22e2bfc9835997207da151caef4a155e8ff748d5fa2a74575d5fa1c51,rhel:8,ubi8-minimal,8.9,1108
